Company_Name,count(Name)
"Adobe Systems Inc.",140
"AbbVie Inc.",137
"American Airlines Group Inc.",136
"Apple Inc.",136
"Lululemon Athletica Inc.",136
"Autodesk, Inc.",129
"Alliance Data Systems Corporation",118
"Agilent Technologies Inc.",115
"Abbott Laboratories",112
"Accenture plc",111
"Archer Daniels Midland Company",96
"Analog Devices Inc.",82
"Axon Enterprise, Inc.",78
"Alcoa Corp.",75
"Automatic Data Processing, Inc.",73
"Applied Optoelectronics, Inc.",72
"Atlas Air Worldwide Holdings Inc.",72
"Abiomed Inc.",71
"ACADIA Pharmaceuticals, Inc.",70
"American Eagle Outfitters, Inc.",61
"AcelRx Pharmaceuticals, Inc.",51
"ADTRAN Inc.",50
"Advance Auto Parts Inc.",49
"Aaron's, Inc.",48
"Advanced Energy Industries, Inc.",46
"AAC Holdings, Inc.",44
"Acacia Communications, Inc.",44
"Axcelis Technologies, Inc.",42
"Aurora Cannabis, Inc.",41
"Asbury Automotive Group, Inc.",38
"AECOM Technology Corporation",36
"Addus HomeCare Corporation",35
"ACI Worldwide, Inc.",35
"American Equity Investment Life Holding Co.",35
"Abeona Therapeutics Inc.",34
"ACCO Brands Corporation",34
"AmerisourceBergen Corporation",33
"ABM Industries Inc.",32
"Acorda Therapeutics, Inc.",31
"Adaptimmune Therapeutics plc",31
"Acadia Healthcare Company, Inc.",30
"Adamas Pharmaceuticals, Inc.",30
"Ameren Corporation",27
"Aceto Corporation",24
"Aegion Corporation",24
"Acacia Research Corporation",24
"Advanced Disposal Services, Inc.",22
"AAON Inc.",21
"Agnico Eagle Mines Ltd.",19
"Arcosa, Inc.",8
